"AFFGEOID","TRACTCE","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV","M_POV","E_UNEMP","M_UNEMP","E_PCI","M_PCI","E_NOHSDP","M_NOHSDP","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_MINRTY","M_MINRTY","E_LIMENG","M_LIMENG","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV","MP_POV","EP_UNEMP","MP_UNEMP","EP_PCI","MP_PCI","EP_NOHSDP","MP_NOHSDP","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_MINRTY","MP_MINRTY","EP_LIMENG","MP_LIMENG","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV","EPL_UNEMP","EPL_PCI","EPL_NOHSDP","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","SPL_THEME2","RPL_THEME2","EPL_MINRTY","EPL_LIMENG","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV","F_UNEMP","F_PCI","F_NOHSDP","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_THEME2","F_MINRTY","F_LIMENG","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_UNINSUR","M_UNINSUR","EP_UNINSUR","MP_UNINSUR","E_DAYPOP","Shape","Shape.STArea..","Shape.STLength.."
"1400000US17031010100",10100,17," Illinois","IL",17031," Cook",17031010100,"Census Tract 101, Cook County, Illinois",0.1471288,4189,522,2614,37,2147,143,1212,442,385,141,23701,3319,129,91,182,92,926,276,434,149,260,117.4,2435,617.6,37,78.7,1308,213.3,0,11,51,55,909,149,138,101,29.7,9.1,15.1,5.3,23701,3319,4.4,3,4.3,2.3,22.1,6,10.6,3.7,12.1,5.4,58.1,12.8,1,2,50,8.1,0,1,2.4,2.6,42.3,6.5,3.3,2.4,0.85,0.8016,0.6031,0.1728,2.4274,0.6378,0.0442,0.4026,0.4923,0.716,1.6551,0.2641,0.7253,0.4436,1.1689,0.6045,0.9442,0,0.6173,0.9535,0.85,3.3651,0.9189,8.6165,0.7026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,740,222,18.1,5.1,2919,"(-87.6703386096905, 42.021202654161115)",3.71812616539777e-05,0.0295122403033358
"1400000US17031010201",10201,17," Illinois","IL",17031," Cook",17031010201,"Census Tract 102.01, Cook County, Illinois",0.19477688,7083,924,2995,70,2506,161,2321,656,417,151,22845,4120,906,303,350,127,1720,464,776,251,303,123.6,5349,979.8,571,291.2,942,187.4,0,15,302,118.7,499,157,154,151,32.8,8,11.4,3.9,22845,4120,19.9,5.4,4.9,1.8,24.3,5.7,11,3.6,12.1,4.9,75.5,9.7,8.9,4.4,31.5,6.2,0,0.9,12.1,4.7,19.9,6.1,2.2,2.1,0.8737,0.65,0.6413,0.7824,2.9474,0.7707,0.0619,0.5721,0.525,0.7154,1.8744,0.3987,0.8029,0.8314,1.6343,0.8833,0.883,0,0.958,0.8029,0.7891,3.433,0.9314,9.8891,0.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2173,517,30.7,5.8,2950,"(-87.68015389301581, 42.016009892638515)",5.459162951292e-05,0.0295190606191973
"1400000US17031010202",10202,17," Illinois","IL",17031," Cook",17031010202,"Census Tract 102.02, Cook County, Illinois",0.13579825,2502,424,1236,53,1069,91,688,333,129,63,20062,3666,314,147,399,154,480,171,339,141,131,97.5,1758,473.6,169,140,681,133.7,0,11,96,83.7,419,115,313,160,30.6,14.7,10.3,5.7,20062,3666,17.6,7.3,15.9,6.5,19.2,6,15.1,6.5,12.3,9.1,70.3,14.7,7.5,6.1,55.1,10.6,0,2.2,9,7.8,39.2,10.3,12.5,6,0.8571,0.5875,0.7386,0.733,2.9162,0.7646,0.666,0.2099,0.7849,0.7224,2.3833,0.7208,0.7811,0.8061,1.5872,0.8571,0.9532,0,0.9208,0.9385,0.9644,3.7769,0.9788,10.6636,0.9399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,4,414,146,18.4,5.4,2221,"(-87.67329107713981, 42.016085638126654)",3.90079032706585e-05,0.0249603710543297
"1400000US17031010300",10300,17," Illinois","IL",17031," Cook",17031010300,"Census Tract 103, Cook County, Illinois",0.18224671,6213,842,3258,91,2695,213,1432,563,277,146,29009,5380,1083,358,1001,268,995,404,565,218,141,97.5,3483,927.1,873,392,2199,261,0,15,216,146.2,1122,217,904,347,26.8,9,8.4,4,29009,5380,22.8,5.9,16.1,3.1,16,6.1,10.5,3.6,5.2,3.6,56.1,12.8,15.1,6.5,67.5,7.8,0,0.8,8,5.4,41.6,6.8,14.6,5.2,0.8196,0.4401,0.3995,0.8314,2.4905,0.6618,0.6788,0.0997,0.4833,0.2798,1.5417,0.2157,0.7151,0.9061,1.6212,0.8782,0.9679,0,0.9016,0.9497,0.9689,3.7881,0.9804,9.4415,0.8076,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,4,5,1057,359,19.7,6.1,3154,"(-87.66657422364104, 42.015855282367916)",4.90069950473657e-05,0.0300095500920458
"1400000US17031010400",10400,17," Illinois","IL",17031," Cook",17031010400,"Census Tract 104, Cook County, Illinois",0.21187502,4730,472,2178,68,1837,164,582,235,255,113,24398,3117,78,50,398,159,450,164,382,144,56,48.9,1618,604.7,70,65.2,1441,158.8,13,21,67,55,727,158,1385,266,17.2,6.8,9.4,4.3,24398,3117,3.2,2.1,8.4,3.2,9.5,3.3,8.1,3.1,3,2.6,34.2,12.3,1.6,1.4,66.2,7,0.6,0.9,3.6,3,39.6,8.3,29.3,4.8,0.6561,0.5196,0.5768,0.1179,1.8703,0.4746,0.2167,0.0337,0.2843,0.1154,0.65,0.0417,0.5702,0.5244,1.0946,0.5603,0.967,0.6378,0.7401,0.9397,0.9859,4.2705,0.9978,7.8854,0.6101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,463,131,9.8,2.9,12453,"(-87.6592960947868, 42.00456268248645)",5.40603730153283e-05,0.0380683597336374
"1400000US17031010501",10501,17," Illinois","IL",17031," Cook",17031010501,"Census Tract 105.01, Cook County, Illinois",0.07805091,3831,417,2559,71,2235,166,813,213,233,110,24850,3337,219,113,365,134,456,178,504,192,76,83.7,1675,534.9,104,76.5,1768,243,12,19,55,42.7,917,182,21,9,21.3,5.9,9.6,4.8,24850,3337,7.5,3.9,9.5,3.4,11.9,4.5,13.2,4.8,3.4,3.7,43.7,13.1,2.8,2.1,69.1,9.3,0.5,0.7,2.5,1.9,41,7.9,0.5,0.2,0.7369,0.5337,0.5597,0.3567,2.187,0.5732,0.2853,0.051,0.6856,0.1372,1.159,0.0929,0.641,0.6375,1.2785,0.6705,0.9699,0.6173,0.6279,0.9465,0.6394,3.801,0.9817,8.4254,0.6834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,824,322,21.6,7.6,1465,"(-87.66394108633253, 42.0093246377195)",2.26733610113388e-05,0.0197271028250325
"1400000US17031010502",10502,17," Illinois","IL",17031," Cook",17031010502,"Census Tract 105.02, Cook County, Illinois",0.06964006,3690,649,1956,62,1567,147,1540,687,149,88,21175,5563,439,390,237,88,385,227,247,112,54,50.3,1772,758.2,366,393.7,1338,157,13,20,160,109.7,742,156,8,9,42.7,14,7.1,4.1,21175,5563,20.5,16.1,6.4,2.6,10.4,5.9,6.7,2.9,3.4,3.2,48,18.7,10.1,10.7,68.4,7.7,0.7,1,10.2,6.9,47.4,9.4,0.2,0.2,0.942,0.3247,0.7052,0.7949,2.7667,0.7267,0.1179,0.0378,0.1644,0.141,0.4612,0.0285,0.6673,0.8474,1.5147,0.8141,0.9692,0.6561,0.9388,0.9696,0.5452,4.0788,0.9946,8.8215,0.727,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,4,716,267,19.4,8.1,1053,"(-87.66333551605818, 42.004442962866506)",1.89634898418772e-05,0.0181333032600708
"1400000US17031010503",10503,17," Illinois","IL",17031," Cook",17031010503,"Census Tract 105.03, Cook County, Illinois",0.07500997,2228,402,1343,27,1090,117,848,268,97,68,23135,4016,358,137,568,162,89,92,380,99,8,17,974,521.4,283,118.4,910,125,0,11,20,32.9,580,124,88,44,39.4,8.2,7.9,5.2,23135,4016,24.6,7.4,25.5,7.7,4,4.1,17.1,5.3,0.7,1.6,43.7,22,12.9,4.9,67.8,9.2,0,2,1.8,3,53.2,8.8,3.9,1.8,0.9215,0.3958,0.6285,0.8571,2.8028,0.7354,0.966,0.0103,0.8686,0.0228,1.8676,0.3926,0.6407,0.8856,1.5263,0.8221,0.9686,0,0.5372,0.9885,0.8728,3.367,0.9196,9.5637,0.8218,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,2,4,206,90,9.2,3.8,1201,"(-87.66312449725127, 42.00031751611871)",2.115103877711e-05,0.0184711299648001
"1400000US17031010600",10600,17," Illinois","IL",17031," Cook",17031010600,"Census Tract 106, Cook County, Illinois",0.1911035,6513,606,3261,87,3128,138,999,514,288,159,28978,3463,590,217,507,110,1067,367,456,149,260,145.2,3871,700.8,380,217,2125,293.5,0,15,110,83.8,1006,206,178,64,15.6,7.5,6.9,3.6,28978,3463,12.2,4.1,7.8,1.9,16.4,5.4,7.1,2.2,8.3,4.6,59.4,9.2,6.2,3.5,65.2,8.8,0,0.8,3.5,2.7,32.2,6.4,2.7,0.9,0.6138,0.3029,0.4008,0.5811,1.8985,0.4859,0.1859,0.1074,0.199,0.5096,1.0019,0.0699,0.7317,0.7779,1.5096,0.8112,0.9657,0,0.7276,0.8984,0.8208,3.4125,0.9282,7.8226,0.6034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1531,387,24,5.8,4603,"(-87.66768711160256, 42.00627749029017)",5.37159351776891e-05,0.0391096862146236
"1400000US17031010701",10701,17," Illinois","IL",17031," Cook",17031010701,"Census Tract 107.01, Cook County, Illinois",0.16590031,3946,385,1658,65,1529,110,565,301,254,125,26402,3737,515,199,264,94,1046,226,261,112,164,86.6,2589,467.4,385,139.2,683,151.6,0,11,109,81.8,168,80,0,11,14.4,7.5,11.2,5,26402,3737,19.1,6.7,6.7,2.5,26.5,5.1,6.6,2.8,10.7,5.6,65.6,10,10.9,3.8,41.2,9,0,1.6,7.1,5.3,11,5.2,0,0.3,0.5798,0.6381,0.4952,0.7676,2.4808,0.6583,0.1324,0.7199,0.1561,0.6538,1.6622,0.2683,0.7612,0.8593,1.6205,0.8776,0.9218,0,0.8821,0.6494,0,2.4532,0.5801,8.2167,0.6541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,860,259,21.8,5.9,1366,"(-87.67860958243759, 42.00915372186355)",4.68567631968727e-05,0.0274358202038314
