"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV","M_POV","E_UNEMP","M_UNEMP","E_PCI","M_PCI","E_NOHSDP","M_NOHSDP","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_MINRTY","M_MINRTY","E_LIMENG","M_LIMENG","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV","MP_POV","EP_UNEMP","MP_UNEMP","EP_PCI","MP_PCI","EP_NOHSDP","MP_NOHSDP","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_MINRTY","MP_MINRTY","EP_LIMENG","MP_LIMENG","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV","EPL_UNEMP","EPL_PCI","EPL_NOHSDP","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","SPL_THEME2","RPL_THEME2","EPL_MINRTY","EPL_LIMENG","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV","F_UNEMP","F_PCI","F_NOHSDP","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_THEME2","F_MINRTY","F_LIMENG","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_UNINSUR","M_UNINSUR","EP_UNINSUR","MP_UNINSUR","E_DAYPOP"
17,"ILLINOIS","IL",17031,"Cook",17031010100,"Census Tract 101, Cook County, Illinois",0.1466226,4388,546,2623,39,2206,164,1512,596,270,125,24933,4593,353,157,184,93,808,248,807,332,249,132.2,2639,655.1,70,84.5,1180,213,0,11,25,40.5,1126,202,141,107,35.4,11.8,9.8,4.7,24933,4593,11.2,4.8,4.2,2.2,18.4,5.2,18.8,7.1,11.3,5.9,60.1,12.9,1.7,2,45,8.1,0,1,1.1,1.8,51,8.2,3.2,2.4,0.9043,0.6944,0.5941,0.5682,2.761,0.7266,0.0321,0.1862,0.9085,0.6815,1.8083,0.3552,0.7278,0.5432,1.2709,0.6652,0.9326,0,0.3987,0.9775,0.8485,3.1573,0.8699,8.9976,0.7562,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,4,559,211,13,4.9,1995
17,"ILLINOIS","IL",17031,"Cook",17031010201,"Census Tract 102.01, Cook County, Illinois",0.1947746,7032,745,3048,35,2722,151,2479,708,399,195,23919,6461,957,376,432,162,1622,347,1125,284,352,124.8,5151,807.7,654,334.9,1118,222.9,0,15,230,121.1,702,155,195,174,35.3,9,11.3,4.8,23919,6461,19.9,6.6,6.1,2.5,23.1,4.3,16,3.6,12.9,4.5,73.3,8.5,10.1,5.1,36.7,7.3,0,0.9,8.4,4.4,25.8,5.7,2.8,2.5,0.903,0.7599,0.6301,0.8058,3.0987,0.8108,0.0812,0.5034,0.8195,0.7477,2.1518,0.5819,0.79,0.8562,1.6462,0.888,0.9088,0,0.9281,0.8606,0.8266,3.5242,0.947,10.4209,0.9325,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1546,414,22,5.3,2764
17,"ILLINOIS","IL",17031,"Cook",17031010202,"Census Tract 102.02, Cook County, Illinois",0.1358137,2275,342,1235,29,991,89,454,194,75,44,20438,3067,282,90,342,112,369,129,237,66,81,45.4,1515,391.2,170,83.5,752,120.3,0,11,72,51.3,358,83,309,134,23.2,9,6.2,3.7,20438,3067,17,5.4,15,4.6,16.2,5.1,12.1,3.7,8.2,4.5,66.6,14,8.1,3.8,60.9,9.6,0,2.2,7.3,5.1,36.1,8.2,13.6,5.5,0.7771,0.3868,0.7579,0.7528,2.6747,0.7016,0.5679,0.1059,0.5906,0.5172,1.7816,0.3417,0.7608,0.8244,1.5852,0.8568,0.9605,0,0.9008,0.9239,0.9666,3.7518,0.9801,9.7933,0.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,4,378,121,19.2,4.9,1534
17,"ILLINOIS","IL",17031,"Cook",17031010300,"Census Tract 103, Cook County, Illinois",0.1822467,6205,503,3296,93,2910,189,913,284,210,115,32129,6173,850,225,1082,225,872,300,599,202,114,67.1,3129,655.9,690,358.6,2143,268.8,0,15,256,141.4,1090,240,974,240,17.5,5.5,6.4,3.3,32129,6173,17,4.4,17.4,3.9,14.1,4.7,11.4,3.7,3.9,2.3,50.4,9.7,11.8,6.1,65,7.9,0,0.8,8.8,4.8,37.5,7.6,15.7,3.7,0.6689,0.4106,0.342,0.7528,2.1743,0.5695,0.7075,0.0709,0.534,0.1772,1.4897,0.1866,0.679,0.8806,1.5596,0.8379,0.9663,0,0.9329,0.9322,0.9711,3.8025,0.9833,9.0262,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,4,604,222,11.5,4.3,2853
17,"ILLINOIS","IL",17031,"Cook",17031010400,"Census Tract 104, Cook County, Illinois",0.2118773,5603,549,2202,73,1925,112,730,329,286,150,20880,2999,28,32,458,155,775,329,483,144,51,67.7,1934,703.6,45,69,1507,171.5,14,22,60,52.4,716,160,1500,248,17.6,8,9.3,4.7,20880,2999,1,1.1,8.2,2.7,13.8,5.7,8.6,2.6,2.6,3.5,34.5,12.1,0.8,1.3,68.4,7.5,0.6,1,3.1,2.7,37.2,8,26.8,3.6,0.6708,0.6642,0.7469,0.0273,2.1093,0.5516,0.1782,0.0677,0.3019,0.0976,0.6454,0.0382,0.5615,0.4103,0.9717,0.4726,0.9701,0.6407,0.6934,0.931,0.983,4.2182,0.9984,7.9446,0.6209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,379,172,6.8,3.1,10949
17,"ILLINOIS","IL",17031,"Cook",17031010501,"Census Tract 105.01, Cook County, Illinois",0.0780443,3906,372,2559,73,2311,153,791,238,337,193,25217,3266,196,123,376,111,464,178,534,162,108,107.6,1767,462,123,92.3,1771,225.8,0,11,10,20.2,1048,190,20,7,20.3,5.8,13.4,7.3,25217,3266,6.5,4.2,9.6,2.9,11.9,4.4,13.7,4.2,4.7,4.6,45.2,11,3.4,2.5,69.2,8.6,0,1.1,0.4,0.9,45.3,7.2,0.5,0.2,0.729,0.8225,0.5841,0.321,2.4566,0.6447,0.251,0.0507,0.7062,0.2337,1.2416,0.1057,0.6453,0.6761,1.3213,0.6937,0.9711,0,0.2283,0.9611,0.6385,2.799,0.7566,7.8186,0.6049,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,633,224,16.2,5.4,1249
17,"ILLINOIS","IL",17031,"Cook",17031010502,"Census Tract 105.02, Cook County, Illinois",0.0696474,3045,398,1789,76,1509,114,1165,410,118,71,23685,3724,96,48,112,51,270,85,226,77,66,40,1243,513.2,72,64.7,1153,159.8,0,11,48,42,702,131,18,34,38.7,10,5.9,3.5,23685,3724,5.3,2.6,3.7,1.8,8.9,2.5,7.4,2.8,4.4,2.6,40.8,16,2.4,2.1,64.4,8.5,0,1.5,3.2,2.8,46.5,7.8,0.6,1.1,0.9268,0.3541,0.6394,0.2459,2.1662,0.5676,0.0238,0.0327,0.2017,0.2061,0.4643,0.0279,0.6138,0.6103,1.2241,0.6347,0.9653,0,0.6998,0.9656,0.6507,3.2815,0.9001,7.136,0.5021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,498,136,16.4,4,1212
17,"ILLINOIS","IL",17031,"Cook",17031010503,"Census Tract 105.03, Cook County, Illinois",0.0749864,2112,330,1323,51,1141,96,968,282,64,51,25093,4819,326,134,636,125,164,130,460,117,48,44.6,911,444,316,111.1,926,103.8,0,11,70,60.3,681,100,42,34,46.6,9.6,6,4.3,25093,4819,21.5,7.8,30.1,6.4,7.8,6,22,6.4,4.2,3.9,43.1,19.9,15.6,5,70,7.4,0,2.1,6.1,5.3,59.7,8.1,2,1.6,0.9663,0.3663,0.5883,0.8327,2.7536,0.7231,0.9833,0.026,0.9647,0.1965,2.1705,0.5947,0.6318,0.9223,1.5541,0.8343,0.9724,0,0.8642,0.9952,0.7804,3.6122,0.9618,10.0904,0.8917,1,0,0,0,1,1,0,1,0,2,0,1,1,1,0,0,1,0,2,6,138,70,6.6,3,1281
17,"ILLINOIS","IL",17031,"Cook",17031010600,"Census Tract 106, Cook County, Illinois",0.1911271,6624,744,3280,82,3051,164,1119,546,416,277,26848,3664,529,255,441,152,1028,324,598,200,179,125.6,3702,874.2,618,323,2074,317.8,0,15,182,120.9,1035,250,186,99,17.4,7.8,9.6,5.9,26848,3664,11,5,6.7,2.3,15.5,4.6,9.3,3.1,5.9,4.1,55.9,11.6,9.8,5,63.2,9.6,0,0.8,6,4,33.9,8.6,2.8,1.5,0.6673,0.679,0.5173,0.5624,2.4261,0.636,0.1021,0.0912,0.3619,0.3374,0.8926,0.0578,0.7085,0.8501,1.5586,0.8376,0.964,0,0.86,0.9127,0.8289,3.5656,0.9541,8.4428,0.6878,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1462,382,22.7,5,4096
17,"ILLINOIS","IL",17031,"Cook",17031010701,"Census Tract 107.01, Cook County, Illinois",0.1659049,3921,362,1696,24,1564,80,607,254,157,90,28429,4257,483,255,352,100,1002,214,335,112,130,71.6,2632,416.5,454,164,786,140.1,0,11,93,62.3,244,85,0,11,15.5,6.2,7.2,3.9,28429,4257,18,8.5,9,2.6,25.6,4.9,8.5,2.8,8.3,4.6,67.1,8.6,12.9,4.5,46.3,8.2,0,1.6,5.9,4,15.6,5.4,0,0.3,0.6108,0.4909,0.4576,0.7743,2.3336,0.6097,0.2205,0.6835,0.2935,0.5258,1.7234,0.3048,0.7644,0.8918,1.6562,0.8941,0.938,0,0.8581,0.7434,0,2.5396,0.6426,8.2527,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,595,200,15.2,4.8,1276
