"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV","M_POV","E_UNEMP","M_UNEMP","E_PCI","M_PCI","E_NOHSDP","M_NOHSDP","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_MINRTY","M_MINRTY","E_LIMENG","M_LIMENG","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV","MP_POV","EP_UNEMP","MP_UNEMP","EP_PCI","MP_PCI","EP_NOHSDP","MP_NOHSDP","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_MINRTY","MP_MINRTY","EP_LIMENG","MP_LIMENG","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV","EPL_UNEMP","EPL_PCI","EPL_NOHSDP","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","SPL_THEME2","RPL_THEME2","EPL_MINRTY","EPL_LIMENG","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV","F_UNEMP","F_PCI","F_NOHSDP","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_THEME2","F_MINRTY","F_LIMENG","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_UNINSUR","M_UNINSUR","EP_UNINSUR","MP_UNINSUR","E_DAYPOP","Shape","Shape.STArea..","Shape.STLength.."
17,"ILLINOIS","IL",17031,"Cook",17031010100,"Census Tract 101, Cook County, Illinois",0.146622620602,4522,529,2656,48,2316,181,1579,473,188,99,29482,4415,340,143,252,84,893,230,604,314,291,141,2667,684,49,72,1144,209,0,11,59,78,1162,224,144,117,35.8,9.6,7,3.4,29482,4415,10.7,4.4,5.6,1.8,19.7,4.5,13.7,6.9,12.6,6,59,13.5,1.2,1.7,43.1,7.8,0,1,2.5,3.4,50.2,8.1,3.2,2.6,0.9261,0.6254,0.5029,0.5778,2.6322,0.6993,0.0523,0.2658,0.6997,0.7506,1.7684,0.3324,0.721,0.4745,1.1955,0.6231,0.9307,0,0.6276,0.9756,0.8443,3.3782,0.9294,8.9743,0.7652,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,378,156,8.6,3.5,1916,"(-87.6703262397096, 42.02120537958813)",3.706746189889e-05,0.0294926450546751
17,"ILLINOIS","IL",17031,"Cook",17031010201,"Census Tract 102.01, Cook County, Illinois",0.19477494543,7039,804,2984,101,2688,156,2588,906,243,143,24590,6291,974,429,464,195,1760,495,995,332,253,129,4755,1036,930,476,1097,233,17,27,300,140,751,192,181,175,36.8,11.2,7.3,4.1,24590,6291,19.9,7.6,6.6,2.8,25,6.4,14.2,4.6,9.4,4.8,67.6,12.5,14.2,7.1,36.8,7.7,0.6,0.9,11.2,5.2,27.9,7.6,2.6,2.5,0.9313,0.6514,0.6785,0.8215,3.0827,0.8127,0.0777,0.6729,0.7299,0.6048,2.0853,0.5321,0.7698,0.9117,1.6815,0.9034,0.9088,0.6442,0.9711,0.877,0.8125,4.2136,0.9971,11.0631,0.9775,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,2,4,795,324,11.3,4.5,2214,"(-87.68015389307936, 42.01600989276007)",5.4591629e-05,0.0295190602177116
17,"ILLINOIS","IL",17031,"Cook",17031010202,"Census Tract 102.02, Cook County, Illinois",0.135814467316,2852,291,1256,33,1102,72,467,192,95,60,20228,2428,408,124,382,84,537,157,317,74,81,48,2040,342,283,105,723,104,7,11,161,68,464,89,314,110,18.5,7.2,6.5,4,20228,2428,20.3,5.6,13.4,3.1,18.8,5.2,12.5,3.3,7.4,4.4,71.5,9.5,10.9,3.9,57.6,8.2,0.6,0.9,14.6,6.1,42.1,7.9,11,3.7,0.7132,0.5868,0.8096,0.8279,2.9375,0.7761,0.4132,0.2167,0.6156,0.4655,1.711,0.2987,0.7833,0.8735,1.6568,0.8909,0.9567,0.6442,0.9891,0.9477,0.9612,4.4989,1,10.8042,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,4,588,180,23.2,5.5,1579,"(-87.67329123862092, 42.01608776954884)",3.90331285e-05,0.024960577422665
17,"ILLINOIS","IL",17031,"Cook",17031010300,"Census Tract 103, Cook County, Illinois",0.182246707734,6650,514,3399,70,3037,188,916,316,166,121,34268,7057,602,208,1247,182,977,282,688,205,100,81,3568,658,443,286,2189,267,0,15,234,144,993,213,970,202,16.1,5.4,4.9,3.4,34268,7057,11.5,3.9,18.8,2.9,14.7,4.1,12.1,3.6,3.3,2.7,53.7,9,7,4.5,64.4,7.8,0,0.8,7.7,4.7,32.7,6.6,14.6,2.8,0.6532,0.4029,0.3526,0.6151,2.0238,0.5249,0.7335,0.0886,0.5822,0.1416,1.5459,0.2152,0.6876,0.8055,1.4931,0.8035,0.964,0,0.9194,0.9075,0.9698,3.7607,0.9778,8.8235,0.7459,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,4,860,379,15.1,6.3,2851,"(-87.66657422362593, 42.01585528248143)",4.9006998461318e-05,0.0300095505713946
17,"ILLINOIS","IL",17031,"Cook",17031010400,"Census Tract 104, Cook County, Illinois",0.211877719622,5153,609,2186,111,1938,160,694,272,215,118,22526,2894,86,89,341,142,568,297,497,164,78,94,1718,765,116,129,1557,210,16,26,87,88,655,151,1555,381,19.1,8,7.7,4,22526,2894,3.3,3.4,6.6,3,11,5.6,9.6,3.6,4,4.8,33.3,14.3,2.3,2.5,71.2,8.9,0.7,1.2,4.5,4.5,33.8,7.6,30.2,6.5,0.7245,0.6774,0.7498,0.1457,2.2974,0.6039,0.0777,0.0453,0.3847,0.1897,0.6974,0.044,0.5374,0.6051,1.1425,0.5933,0.9737,0.6651,0.81,0.9123,0.9836,4.3447,0.9984,8.482,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,449,189,8.7,3.4,5050,"(-87.65929609480247, 42.00456268283082)",5.4060373403844e-05,0.0380683593743778
17,"ILLINOIS","IL",17031,"Cook",17031010501,"Census Tract 105.01, Cook County, Illinois",0.078043955566,4147,368,2652,76,2425,143,857,277,251,166,29890,4121,134,83,483,108,429,177,567,146,54,69,2256,432,166,110,1841,231,0,11,30,38,1132,214,20,8,20.7,6,8.7,5.8,29890,4121,3.9,2.5,11.6,2.7,10.3,4.2,13.7,3.9,2.2,2.9,54.4,9.3,4.2,2.8,69.4,8.5,0,1,1.2,1.6,46.7,8.2,0.5,0.2,0.7563,0.7396,0.4881,0.1868,2.1708,0.566,0.3056,0.0379,0.6997,0.0735,1.1167,0.0912,0.695,0.7143,1.4093,0.7557,0.9711,0,0.4167,0.9656,0.6218,2.9752,0.8192,7.672,0.5933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,539,239,13,5.4,1206,"(-87.66394108630507, 42.00932463780835)",2.26733605e-05,0.0197271029528498
17,"ILLINOIS","IL",17031,"Cook",17031010502,"Census Tract 105.02, Cook County, Illinois",0.069647395372,2802,331,1796,71,1508,134,828,273,74,45,27299,3367,106,75,120,53,276,97,295,92,85,56,1359,370,68,75,1263,165,0,11,91,58,751,127,45,27,30,7.5,3.7,2,27299,3367,5.7,3.8,4.3,2,9.9,3.3,10.5,3.1,5.6,3.7,48.5,11.9,2.5,2.7,70.3,8.8,0,1.5,6,3.8,49.8,6.9,1.6,0.9,0.8799,0.2376,0.5822,0.2973,1.997,0.5156,0.0286,0.0334,0.4573,0.3152,0.8345,0.0546,0.6565,0.6215,1.278,0.6687,0.9727,0,0.8754,0.9743,0.7435,3.5659,0.957,7.6754,0.594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,426,158,15.2,5.1,1097,"(-87.66333551598484, 42.0044429630135)",1.89634885e-05,0.0181333024606666
17,"ILLINOIS","IL",17031,"Cook",17031010503,"Census Tract 105.03, Cook County, Illinois",0.074986413828,1713,280,1258,80,968,105,823,258,65,51,25568,5475,200,92,565,104,97,107,376,104,22,24,641,394,179,88,833,100,0,11,59,49,494,91,8,6,48,9.8,7.7,6.1,25568,5475,17.2,7,33,7.5,5.7,6.2,22.2,6.2,2.3,2.5,37.4,22.2,10.8,5.1,66.2,6.8,0,2.2,6.1,5.1,51,7.4,0.5,0.3,0.974,0.6774,0.6452,0.7695,3.0661,0.8108,0.9884,0.0157,0.9599,0.079,2.043,0.5055,0.5759,0.8713,1.4472,0.7769,0.9663,0,0.8787,0.9782,0.6218,3.445,0.9425,10.0013,0.8917,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,0,2,5,76,66,4.5,3.8,1277,"(-87.66311408203079, 42.00032317096488)",2.10587255e-05,0.0184053007470321
17,"ILLINOIS","IL",17031,"Cook",17031010600,"Census Tract 106, Cook County, Illinois",0.191127053734,6271,623,3301,57,2875,202,1487,539,316,208,32742,5515,363,216,492,135,841,279,427,157,80,90,2754,810,657,321,1761,312,0,15,145,88,1263,229,184,69,24.4,7.9,7.5,4.9,32742,5515,8,4.5,7.8,2.2,13.4,4.2,7,2.6,2.8,3.1,43.9,12.2,11,5.3,53.3,9.4,0,0.8,5,3.1,43.9,7.4,2.9,1.1,0.8205,0.6642,0.4001,0.4376,2.3224,0.6132,0.1146,0.0697,0.1673,0.1066,0.4582,0.0283,0.6266,0.8754,1.502,0.808,0.949,0,0.8369,0.957,0.8292,3.5721,0.9586,7.8547,0.6164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1110,446,18.2,6.9,3458,"(-87.66768341451788, 42.00626520068097)",5.38072665e-05,0.0391798697365701
17,"ILLINOIS","IL",17031,"Cook",17031010701,"Census Tract 107.01, Cook County, Illinois",0.165904940584,3766,355,1704,30,1459,97,783,327,109,71,30136,4487,351,217,344,110,875,205,322,120,147,77,2252,421,382,204,617,123,0,11,109,68,285,112,0,11,20.8,8.7,4.9,3.2,30136,4487,13.2,7.9,9.1,3,23.2,5,8.6,3.2,10.1,5.3,59.8,9.7,11.1,5.8,36.2,7.2,0,1.6,7.5,4.6,19.5,7.5,0,0.3,0.7582,0.4029,0.4778,0.6751,2.314,0.61,0.1756,0.5445,0.2932,0.6421,1.6554,0.2659,0.7255,0.878,1.6035,0.8648,0.9059,0,0.9152,0.799,0,2.6201,0.6904,8.193,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,434,196,11.5,4.8,1685,"(-87.67860926304395, 42.00915353908416)",4.68532085e-05,0.0274357734880706
